,exp_iso3,group,year,av_degree,clustering,modularity,avg_duration,super,seq0.5,seq0.75
1,ARG,anchovies,1995,7.71134020618557,0.202328159645233,0.0223769624524579,0,0.8289471,0,0
2,CHL,anchovies,1995,7.71134020618557,0.202328159645233,0.0223769624524579,0,1.104329,0,0
3,CHN,anchovies,1995,7.71134020618557,0.202328159645233,0.0223769624524579,0,1.39438,0,0
4,ESP,anchovies,1995,7.71134020618557,0.202328159645233,0.0223769624524579,0,0.8946051,0,0
5,FRA,anchovies,1995,7.71134020618557,0.202328159645233,0.0223769624524579,0,1.1774685,0,0
6,GRC,anchovies,1995,7.71134020618557,0.202328159645233,0.0223769624524579,0,0.7786932,0,0
7,HRV,anchovies,1995,7.71134020618557,0.202328159645233,0.0223769624524579,0,1.551903,0,0
8,ITA,anchovies,1995,7.71134020618557,0.202328159645233,0.0223769624524579,0,1.087325,0,0
9,JPN,anchovies,1995,7.71134020618557,0.202328159645233,0.0223769624524579,0,1.060723,0,0
10,KOR,anchovies,1995,7.71134020618557,0.202328159645233,0.0223769624524579,0,0.8445008,0,0
11,MAR,anchovies,1995,7.71134020618557,0.202328159645233,0.0223769624524579,0,1.23391855,0,0
12,MEX,anchovies,1995,7.71134020618557,0.202328159645233,0.0223769624524579,0,0.9741881,0,0
13,PER,anchovies,1995,7.71134020618557,0.202328159645233,0.0223769624524579,0,0.97936475,0,0
14,PRT,anchovies,1995,7.71134020618557,0.202328159645233,0.0223769624524579,0,0.8224038,0,0
15,TUR,anchovies,1995,7.71134020618557,0.202328159645233,0.0223769624524579,0,0.7349029,0,1
16,USA,anchovies,1995,7.71134020618557,0.202328159645233,0.0223769624524579,0,0.9724581,0,0
17,VEN,anchovies,1995,7.71134020618557,0.202328159645233,0.0223769624524579,0,0.6937563,0,1
18,ZAF,anchovies,1995,7.71134020618557,0.202328159645233,0.0223769624524579,0,1.078865,0,0
19,ARG,anchovies,1996,7.90291262135922,0.216643741403026,0.0324119071047818,0,0.926405,0,0
20,CHL,anchovies,1996,7.90291262135922,0.216643741403026,0.0324119071047818,0,0.8980327,0,0
21,ECU,anchovies,1996,7.90291262135922,0.216643741403026,0.0324119071047818,0,1.157262,0,0
22,ESP,anchovies,1996,7.90291262135922,0.216643741403026,0.0324119071047818,0,1.0078379,0,0
23,FRA,anchovies,1996,7.90291262135922,0.216643741403026,0.0324119071047818,0,1.1258504,0,0
24,GRC,anchovies,1996,7.90291262135922,0.216643741403026,0.0324119071047818,0,0.69449,0,1
25,HRV,anchovies,1996,7.90291262135922,0.216643741403026,0.0324119071047818,0,1.427741,0,0
26,ITA,anchovies,1996,7.90291262135922,0.216643741403026,0.0324119071047818,0,1.142362,0,0
27,JPN,anchovies,1996,7.90291262135922,0.216643741403026,0.0324119071047818,0,1.052905,0,0
28,KOR,anchovies,1996,7.90291262135922,0.216643741403026,0.0324119071047818,0,0.8938475,0,0
29,MAR,anchovies,1996,7.90291262135922,0.216643741403026,0.0324119071047818,0,1.1919914,0,0
30,MEX,anchovies,1996,7.90291262135922,0.216643741403026,0.0324119071047818,0,0.8806572,0,0
31,PER,anchovies,1996,7.90291262135922,0.216643741403026,0.0324119071047818,0,0.9507949,0,0
32,PRT,anchovies,1996,7.90291262135922,0.216643741403026,0.0324119071047818,0,0.9364231,0,0
33,TUR,anchovies,1996,7.90291262135922,0.216643741403026,0.0324119071047818,0,1.177938,0,0
34,UKR,anchovies,1996,7.90291262135922,0.216643741403026,0.0324119071047818,0,0.7526939,0,0
35,USA,anchovies,1996,7.90291262135922,0.216643741403026,0.0324119071047818,0,0.9552157,0,0
36,VEN,anchovies,1996,7.90291262135922,0.216643741403026,0.0324119071047818,0,0.7106548,0,1
37,ZAF,anchovies,1996,7.90291262135922,0.216643741403026,0.0324119071047818,0,0.9154505,0,0
38,GEO,anchovies,1996,7.90291262135922,0.216643741403026,0.0324119071047818,0,0.4064147,1,1
39,CHN,anchovies,1996,7.90291262135922,0.216643741403026,0.0324119071047818,0,1.375647,0,0
40,GHA,anchovies,1996,7.90291262135922,0.216643741403026,0.0324119071047818,0,1.094166,0,0
41,ARG,anchovies,1997,7.85185185185185,0.202858460119871,0.0130495728017088,0,0.898858,0,0
42,CHL,anchovies,1997,7.85185185185185,0.202858460119871,0.0130495728017088,0,0.7882652,0,0
43,CHN,anchovies,1997,7.85185185185185,0.202858460119871,0.0130495728017088,0,1.127022,0,0
44,ESP,anchovies,1997,7.85185185185185,0.202858460119871,0.0130495728017088,0,1.005826,0,0
45,FRA,anchovies,1997,7.85185185185185,0.202858460119871,0.0130495728017088,0,1.19794,0,0
46,GRC,anchovies,1997,7.85185185185185,0.202858460119871,0.0130495728017088,0,0.7892538,0,0
47,ITA,anchovies,1997,7.85185185185185,0.202858460119871,0.0130495728017088,0,1.20554,0,0
48,JPN,anchovies,1997,7.85185185185185,0.202858460119871,0.0130495728017088,0,1.021382,0,0
49,KOR,anchovies,1997,7.85185185185185,0.202858460119871,0.0130495728017088,0,0.7675217,0,0
50,MAR,anchovies,1997,7.85185185185185,0.202858460119871,0.0130495728017088,0,1.2150502,0,0
51,MEX,anchovies,1997,7.85185185185185,0.202858460119871,0.0130495728017088,0,0.9393296,0,0
52,PER,anchovies,1997,7.85185185185185,0.202858460119871,0.0130495728017088,0,0.95194065,0,0
